"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2022","5,470.0","5,400.0","5,490.0","5,370.0","435.30K","0.74%"
"07/15/2022","5,430.0","5,460.0","5,490.0","5,420.0","304.50K","-1.27%"
"07/14/2022","5,500.0","5,400.0","5,540.0","5,380.0","343.60K","1.29%"
"07/13/2022","5,430.0","5,440.0","5,510.0","5,410.0","284.30K","0.37%"
"07/12/2022","5,410.0","5,610.0","5,610.0","5,400.0","439.40K","-3.91%"
"07/11/2022","5,630.0","5,750.0","5,770.0","5,630.0","368.00K","0.00%"
"07/08/2022","5,630.0","5,680.0","5,740.0","5,620.0","750.60K","-0.88%"
"07/07/2022","5,680.0","5,650.0","5,700.0","5,590.0","468.10K","1.43%"
"07/06/2022","5,600.0","5,500.0","5,620.0","5,500.0","382.40K","-0.71%"
"07/05/2022","5,640.0","5,730.0","5,730.0","5,620.0","323.60K","-0.18%"
"07/04/2022","5,650.0","5,590.0","5,680.0","5,590.0","324.40K","2.17%"
"07/01/2022","5,530.0","5,630.0","5,700.0","5,510.0","506.80K","-1.25%"
"06/30/2022","5,600.0","5,750.0","5,750.0","5,550.0","835.00K","-2.27%"
"06/29/2022","5,730.0","5,730.0","5,740.0","5,580.0","1.02M","2.87%"
"06/28/2022","5,570.0","5,530.0","5,590.0","5,510.0","347.30K","0.91%"
"06/27/2022","5,520.0","5,490.0","5,540.0","5,470.0","279.30K","2.22%"
"06/24/2022","5,400.0","5,310.0","5,430.0","5,270.0","494.20K","2.66%"
"06/23/2022","5,260.0","5,270.0","5,310.0","5,240.0","326.00K","-0.57%"
"06/22/2022","5,290.0","5,260.0","5,330.0","5,250.0","317.70K","0.00%"
"06/21/2022","5,290.0","5,210.0","5,360.0","5,210.0","407.90K","2.12%"
"06/20/2022","5,180.0","5,290.0","5,290.0","5,090.0","405.30K","-0.19%"
"06/17/2022","5,190.0","5,150.0","5,320.0","5,150.0","960.20K","-2.81%"
"06/16/2022","5,340.0","5,450.0","5,470.0","5,330.0","371.30K","0.38%"
"06/15/2022","5,320.0","5,390.0","5,400.0","5,320.0","413.70K","-0.75%"
"06/14/2022","5,360.0","5,360.0","5,380.0","5,300.0","411.60K","-2.01%"
"06/13/2022","5,470.0","5,570.0","5,590.0","5,450.0","574.30K","-4.87%"
"06/10/2022","5,750.0","5,790.0","5,790.0","5,690.0","830.40K","-1.37%"
"06/09/2022","5,830.0","5,710.0","5,900.0","5,690.0","1.04M","3.19%"
"06/08/2022","5,650.0","5,540.0","5,660.0","5,510.0","661.50K","2.73%"
"06/07/2022","5,500.0","5,520.0","5,540.0","5,480.0","355.50K","0.55%"
"06/06/2022","5,470.0","5,460.0","5,510.0","5,390.0","427.40K","0.00%"
"06/03/2022","5,470.0","5,430.0","5,480.0","5,370.0","433.00K","3.01%"
"06/02/2022","5,310.0","5,280.0","5,330.0","5,270.0","296.50K","-1.30%"
"06/01/2022","5,380.0","5,290.0","5,410.0","5,270.0","423.50K","1.13%"
"05/31/2022","5,320.0","5,410.0","5,430.0","5,310.0","1.34M","-1.30%"
"05/30/2022","5,390.0","5,320.0","5,430.0","5,290.0","680.70K","2.67%"
"05/27/2022","5,250.0","5,300.0","5,330.0","5,220.0","343.10K","1.55%"
"05/26/2022","5,170.0","5,200.0","5,280.0","5,170.0","559.30K","1.17%"
"05/25/2022","5,110.0","5,220.0","5,220.0","5,110.0","532.60K","-0.39%"
"05/24/2022","5,130.0","5,240.0","5,240.0","5,110.0","429.40K","-1.91%"
"05/23/2022","5,230.0","5,290.0","5,290.0","5,190.0","384.10K","-0.19%"
"05/20/2022","5,240.0","5,170.0","5,270.0","5,160.0","459.10K","1.35%"
"05/19/2022","5,170.0","5,050.0","5,180.0","5,050.0","426.40K","-1.52%"
"05/18/2022","5,250.0","5,200.0","5,290.0","5,190.0","389.10K","1.16%"
"05/17/2022","5,190.0","5,220.0","5,280.0","5,170.0","432.90K","0.39%"
"05/16/2022","5,170.0","5,250.0","5,250.0","5,120.0","392.90K","0.39%"
"05/13/2022","5,150.0","5,110.0","5,240.0","5,040.0","701.40K","2.79%"
"05/12/2022","5,010.0","4,930.0","5,110.0","4,925.0","557.90K","-0.20%"
"05/11/2022","5,020.0","4,955.0","5,020.0","4,940.0","440.40K","0.50%"
"05/10/2022","4,995.0","4,935.0","5,030.0","4,890.0","409.80K","1.22%"
"05/09/2022","4,935.0","5,010.0","5,010.0","4,915.0","434.70K","-3.42%"
"05/06/2022","5,110.0","5,060.0","5,160.0","5,050.0","387.60K","0.79%"
"05/02/2022","5,070.0","4,955.0","5,080.0","4,940.0","406.40K","1.40%"
"04/28/2022","5,000.0","4,955.0","5,020.0","4,915.0","504.50K","1.01%"
"04/27/2022","4,950.0","4,970.0","5,020.0","4,910.0","706.10K","-3.13%"
"04/26/2022","5,110.0","5,070.0","5,140.0","5,020.0","358.40K","1.79%"
"04/25/2022","5,020.0","5,100.0","5,100.0","5,010.0","484.60K","-4.02%"
"04/22/2022","5,230.0","5,220.0","5,280.0","5,120.0","487.90K","-1.69%"
"04/21/2022","5,320.0","5,110.0","5,350.0","5,110.0","505.50K","3.91%"
"04/20/2022","5,120.0","5,060.0","5,140.0","5,050.0","356.30K","1.59%"
"04/19/2022","5,040.0","5,020.0","5,070.0","4,970.0","336.60K","1.51%"
"04/18/2022","4,965.0","5,030.0","5,070.0","4,935.0","314.00K","-2.84%"
"04/15/2022","5,110.0","5,120.0","5,160.0","5,040.0","261.70K","-0.78%"
"04/14/2022","5,150.0","5,080.0","5,220.0","5,080.0","297.70K","0.98%"
"04/13/2022","5,100.0","5,180.0","5,180.0","5,060.0","507.30K","-0.58%"
"04/12/2022","5,130.0","5,250.0","5,250.0","5,100.0","414.20K","-2.47%"
"04/11/2022","5,260.0","5,310.0","5,310.0","5,240.0","392.30K","-0.94%"
"04/08/2022","5,310.0","5,340.0","5,340.0","5,230.0","690.30K","1.34%"
"04/07/2022","5,240.0","5,190.0","5,260.0","5,130.0","454.80K","0.00%"
"04/06/2022","5,240.0","5,300.0","5,350.0","5,220.0","500.20K","-1.87%"
"04/05/2022","5,340.0","5,410.0","5,410.0","5,290.0","401.50K","0.00%"
"04/04/2022","5,340.0","5,360.0","5,370.0","5,300.0","208.40K","0.00%"
"04/01/2022","5,340.0","5,270.0","5,370.0","5,220.0","462.10K","-0.19%"
"03/31/2022","5,350.0","5,350.0","5,430.0","5,350.0","586.00K","-1.83%"
"03/30/2022","5,450.0","5,500.0","5,510.0","5,360.0","500.70K","-0.18%"
"03/29/2022","5,460.0","5,390.0","5,460.0","5,360.0","459.50K","0.92%"
"03/28/2022","5,410.0","5,420.0","5,480.0","5,380.0","280.60K","0.00%"
"03/25/2022","5,410.0","5,490.0","5,500.0","5,370.0","382.90K","-0.55%"
"03/24/2022","5,440.0","5,340.0","5,460.0","5,270.0","410.70K","0.37%"
"03/23/2022","5,420.0","5,450.0","5,460.0","5,350.0","468.30K","1.31%"
"03/22/2022","5,350.0","5,280.0","5,400.0","5,250.0","753.90K","3.08%"
"03/18/2022","5,190.0","5,160.0","5,190.0","5,110.0","593.20K","-0.19%"
"03/17/2022","5,200.0","5,160.0","5,200.0","5,110.0","461.80K","4.31%"
"03/16/2022","4,985.0","4,930.0","4,995.0","4,880.0","490.30K","1.63%"
"03/15/2022","4,905.0","4,870.0","4,960.0","4,855.0","355.10K","0.10%"
"03/14/2022","4,900.0","4,940.0","5,030.0","4,900.0","377.80K","0.41%"
"03/11/2022","4,880.0","4,995.0","5,030.0","4,840.0","969.50K","-4.13%"
"03/10/2022","5,090.0","5,000.0","5,110.0","4,965.0","795.10K","4.41%"
"03/09/2022","4,875.0","5,030.0","5,060.0","4,875.0","715.90K","-1.71%"
"03/08/2022","4,960.0","4,960.0","5,100.0","4,950.0","632.90K","-1.78%"
"03/07/2022","5,050.0","5,110.0","5,150.0","5,000.0","493.50K","-4.72%"
"03/04/2022","5,300.0","5,280.0","5,310.0","5,210.0","829.30K","0.38%"
"03/03/2022","5,280.0","5,240.0","5,320.0","5,240.0","407.50K","1.54%"
"03/02/2022","5,200.0","5,330.0","5,330.0","5,200.0","429.30K","-2.80%"
"03/01/2022","5,350.0","5,430.0","5,450.0","5,330.0","505.20K","-0.19%"
"02/28/2022","5,360.0","5,370.0","5,380.0","5,280.0","509.00K","0.37%"
"02/25/2022","5,340.0","5,360.0","5,370.0","5,260.0","504.10K","0.56%"
"02/24/2022","5,310.0","5,400.0","5,430.0","5,260.0","509.80K","-1.67%"
"02/22/2022","5,400.0","5,380.0","5,420.0","5,320.0","329.30K","-1.10%"
"02/21/2022","5,460.0","5,370.0","5,480.0","5,320.0","282.50K","-0.18%"
"02/18/2022","5,470.0","5,370.0","5,510.0","5,350.0","482.90K","0.74%"
"02/17/2022","5,430.0","5,530.0","5,580.0","5,410.0","515.20K","-1.81%"
"02/16/2022","5,530.0","5,570.0","5,610.0","5,530.0","439.80K","0.55%"
"02/15/2022","5,500.0","5,540.0","5,590.0","5,460.0","482.30K","0.00%"
"02/14/2022","5,500.0","5,510.0","5,590.0","5,480.0","644.80K","-3.68%"
"02/10/2022","5,710.0","5,700.0","5,740.0","5,630.0","727.50K","1.06%"
"02/09/2022","5,650.0","5,630.0","5,770.0","5,580.0","1.08M","1.99%"
"02/08/2022","5,540.0","5,350.0","5,620.0","5,320.0","1.31M","3.17%"
"02/07/2022","5,370.0","5,330.0","5,390.0","5,270.0","709.60K","1.70%"
"02/04/2022","5,280.0","5,360.0","5,400.0","5,260.0","625.30K","-0.75%"
"02/03/2022","5,320.0","5,250.0","5,340.0","5,240.0","508.40K","1.14%"
"02/02/2022","5,260.0","5,260.0","5,300.0","5,230.0","525.50K","1.94%"
"02/01/2022","5,160.0","5,200.0","5,250.0","5,160.0","486.40K","-0.58%"
"01/31/2022","5,190.0","5,130.0","5,220.0","5,090.0","602.00K","1.76%"
"01/28/2022","5,100.0","5,000.0","5,120.0","5,000.0","957.80K","3.45%"
"01/27/2022","4,930.0","5,150.0","5,150.0","4,900.0","756.10K","-3.52%"
"01/26/2022","5,110.0","5,160.0","5,180.0","5,090.0","380.70K","-0.97%"
"01/25/2022","5,160.0","5,180.0","5,180.0","5,090.0","597.00K","-0.77%"
"01/24/2022","5,200.0","5,150.0","5,200.0","5,100.0","406.00K","-0.76%"
"01/21/2022","5,240.0","5,080.0","5,270.0","5,080.0","556.00K","0.19%"
"01/20/2022","5,230.0","5,140.0","5,260.0","5,140.0","619.70K","0.97%"
"01/19/2022","5,180.0","5,210.0","5,270.0","5,140.0","747.30K","-1.15%"
"01/18/2022","5,240.0","5,380.0","5,410.0","5,190.0","590.10K","-2.60%"
"01/17/2022","5,380.0","5,370.0","5,400.0","5,340.0","367.90K","-0.19%"
"01/14/2022","5,390.0","5,370.0","5,400.0","5,330.0","727.10K","-2.18%"
"01/13/2022","5,510.0","5,570.0","5,570.0","5,490.0","505.90K","-2.13%"
"01/12/2022","5,630.0","5,540.0","5,650.0","5,540.0","617.30K","1.81%"
"01/11/2022","5,530.0","5,590.0","5,590.0","5,500.0","421.50K","-0.90%"
"01/07/2022","5,580.0","5,640.0","5,680.0","5,560.0","513.10K","-1.06%"
"01/06/2022","5,640.0","5,730.0","5,810.0","5,630.0","620.20K","-2.25%"
"01/05/2022","5,770.0","5,780.0","5,800.0","5,720.0","479.20K","-0.17%"
"01/04/2022","5,780.0","5,700.0","5,790.0","5,660.0","550.60K","1.94%"
"12/30/2021","5,670.0","5,700.0","5,710.0","5,650.0","428.10K","-1.56%"
"12/29/2021","5,760.0","5,730.0","5,810.0","5,720.0","328.90K","-1.20%"
